source,name_key,normalized_key,count,latin_binomial,original_name_keys,samples,normalized_samples
dsld,"sodium","sodium",59,false,"sodium","Sodium","sodium"
dsld,"folic acid","folic acid",21,false,"folic acid","Folic Acid","folic acid"
dsld,"vitamin b6","vitamin b6",17,false,"vitamin b6","Vitamin B6","vitamin b6"
dsld,"vitamin c","vitamin c",15,false,"vitamin c","Vitamin C","vitamin c"
dsld,"phosphorus","phosphorus",13,false,"phosphorus","Phosphorus","phosphorus"
dsld,"magnesium","magnesium",13,false,"magnesium","Magnesium","magnesium"
dsld,"vitamin a","vitamin a",13,false,"vitamin a","Vitamin A","vitamin a"
dsld,"proprietary blend","proprietary blend",12,false,"proprietary blend" | "proprietary blend non nutrient non botanical","Proprietary Blend" | "Proprietary Blend (Non-Nutrient/Non-Botanical)","proprietary blend"
dsld,"vitamin d","vitamin d",12,false,"vitamin d","Vitamin D","vitamin d"
dsld,"niacin","niacin",11,false,"niacin","Niacin","niacin"
dsld,"iron","iron",11,false,"iron","Iron","iron"
dsld,"riboflavin","riboflavin",11,false,"riboflavin","Riboflavin","riboflavin"
dsld,"pantothenic acid","pantothenic acid",11,false,"pantothenic acid","Pantothenic Acid","pantothenic acid"
dsld,"calcium","calcium",11,false,"calcium","Calcium","calcium"
dsld,"sugar","sugar",9,false,"sugar","Sugar","sugar"
dsld,"thiamine","thiamine",9,false,"thiamine","Thiamine","thiamine"
dsld,"vitamin e","vitamin e",9,false,"vitamin e","Vitamin E","vitamin e"
dsld,"biotin","biotin",8,false,"biotin","Biotin","biotin"
dsld,"zinc","zinc",8,false,"zinc","Zinc","zinc"
dsld,"copper","copper",8,false,"copper","Copper","copper"
dsld,"folate","folate",7,false,"folate","Folate","folate"
dsld,"vitamin b12","vitamin b12",7,false,"vitamin b12","Vitamin B12","vitamin b12"
dsld,"potassium","potassium",7,false,"potassium","Potassium","potassium"
dsld,"selenium","selenium",6,false,"selenium","Selenium","selenium"
dsld,"molybdenum","molybdenum",5,false,"molybdenum","Molybdenum","molybdenum"
dsld,"iodine","iodine",5,false,"iodine","Iodine","iodine"
dsld,"manganese","manganese",5,false,"manganese","Manganese","manganese"
dsld,"chromium","chromium",5,false,"chromium","Chromium","chromium"
dsld,"inositol","inositol",4,false,"inositol","Inositol","inositol"
dsld,"vitamin d3","vitamin d3",4,false,"vitamin d3","Vitamin D3","vitamin d3"
dsld,"boron","boron",4,false,"boron","Boron","boron"
dsld,"vanadium","vanadium",3,false,"vanadium","Vanadium","vanadium"
dsld,"black pepper fruit extract","black pepper fruit extract",3,true,"black pepper fruit extract","Black Pepper fruit extract","black pepper fruit extract"
dsld,"fish oil","fish oil",3,false,"fish oil","Fish Oil","fish oil"
dsld,"silicon","silicon",3,false,"silicon","Silicon","silicon"
dsld,"medium chain triglycerides","medium chain triglycerides",3,false,"medium chain triglycerides","Medium Chain Triglycerides" | "Medium-Chain Triglycerides","medium chain triglycerides"
dsld,"coenzyme q10","coenzyme q10",3,false,"coenzyme q10","Coenzyme Q10","coenzyme q10"
dsld,"citrulline malate","citrulline malate",3,false,"citrulline malate","Citrulline Malate","citrulline malate"
dsld,"choline","choline",3,false,"choline","Choline","choline"
dsld,"branched chain amino acids","branched chain amino acids",2,false,"branched chain amino acids","Branched-Chain Amino Acids","branched chain amino acids"
dsld,"carbohydrates","carbohydrates",2,false,"carbohydrates","Carbohydrates","carbohydrates"
