source,name_key,normalized_key,count,latin_binomial,original_name_keys,samples,normalized_samples
lnhpd,"fish oil","fish oil",25,true,"fish oil","Fish oil","fish oil"
lnhpd,"vitis vinifera","vitis vinifera",14,true,"vitis vinifera","Vitis vinifera" | "Vitis Vinifera","vitis vinifera"
lnhpd,"oryctolagus cuniculus","oryctolagus cuniculus",12,true,"oryctolagus cuniculus","Oryctolagus cuniculus","oryctolagus cuniculus"
lnhpd,"inositol","inositol",11,false,"inositol","Inositol","inositol"
lnhpd,"silybum marianum","silybum marianum",10,true,"silybum marianum","Silybum marianum","silybum marianum"
lnhpd,"linum usitatissimum","linum usitatissimum",10,true,"linum usitatissimum","Linum usitatissimum","linum usitatissimum"
lnhpd,"glycyrrhiza uralensis","glycyrrhiza uralensis",8,true,"glycyrrhiza uralensis","Glycyrrhiza uralensis","glycyrrhiza uralensis"
lnhpd,"allium sativum","allium sativum",8,true,"allium sativum","Allium sativum" | "Allium Sativum","allium sativum"
lnhpd,"glycyrrhiza glabra","glycyrrhiza glabra",8,true,"glycyrrhiza glabra","Glycyrrhiza glabra","glycyrrhiza glabra"
lnhpd,"harpagophytum procumbens","harpagophytum procumbens",8,true,"harpagophytum procumbens","Harpagophytum procumbens","harpagophytum procumbens"
lnhpd,"eleutherococcus senticosus","eleutherococcus senticosus",8,true,"eleutherococcus senticosus","Eleutherococcus senticosus","eleutherococcus senticosus"
lnhpd,"arnica montana","arnica montana",7,true,"arnica montana","Arnica montana","arnica montana"
lnhpd,"sus scrofa","sus scrofa",7,true,"sus scrofa","Sus scrofa","sus scrofa"
lnhpd,"salicylic acid","salicylic acid",7,true,"salicylic acid","Salicylic acid","salicylic acid"
lnhpd,"coenzyme q10","coenzyme q10",7,false,"coenzyme q10","Coenzyme Q10","coenzyme q10"
lnhpd,"withania somnifera","withania somnifera",7,true,"withania somnifera","Withania somnifera","withania somnifera"
lnhpd,"hydrastis canadensis","hydrastis canadensis",7,true,"hydrastis canadensis","Hydrastis canadensis","hydrastis canadensis"
lnhpd,"phosphore","phosphore",6,false,"phosphore","Phosphore","phosphore"
lnhpd,"dioscorea oppositifolia","dioscorea oppositifolia",6,true,"dioscorea oppositifolia","Dioscorea oppositifolia","dioscorea oppositifolia"
lnhpd,"silicea","silicea",6,false,"silicea","Silicea","silicea"
lnhpd,"eucalyptus globulus","eucalyptus globulus",6,true,"eucalyptus globulus","Eucalyptus globulus","eucalyptus globulus"
lnhpd,"citrus bioflavonoids","citrus bioflavonoids",6,true,"citrus bioflavonoids","Citrus Bioflavonoids" | "Citrus bioflavonoids","citrus bioflavonoids"
lnhpd,"medicago sativa","medicago sativa",5,true,"medicago sativa","Medicago sativa","medicago sativa"
lnhpd,"sambucus nigra","sambucus nigra",5,true,"sambucus nigra","Sambucus nigra","sambucus nigra"
lnhpd,"1 carboxy n n n trimethylmethanaminium chloride","1 carboxy n n n trimethylmethanaminium chloride",5,false,"1 carboxy n n n trimethylmethanaminium chloride","1-Carboxy-N,N,N-trimethylmethanaminium chloride","1 carboxy n n n trimethylmethanaminium chloride"
lnhpd,"camellia sinensis","camellia sinensis",5,true,"camellia sinensis","Camellia sinensis","camellia sinensis"
lnhpd,"vanadium","vanadium",5,false,"vanadium","Vanadium","vanadium"
lnhpd,"angelica sinensis","angelica sinensis",5,true,"angelica sinensis","Angelica sinensis","angelica sinensis"
lnhpd,"zingiber officinale","zingiber officinale",5,true,"zingiber officinale","Zingiber officinale","zingiber officinale"
lnhpd,"calendula officinalis","calendula officinalis",5,true,"calendula officinalis","Calendula officinalis","calendula officinalis"
lnhpd,"atractylodes macrocephala","atractylodes macrocephala",5,true,"atractylodes macrocephala","Atractylodes macrocephala","atractylodes macrocephala"
lnhpd,"angelica dahurica","angelica dahurica",5,true,"angelica dahurica","Angelica dahurica","angelica dahurica"
lnhpd,"2 amino 2 deoxy d glucose sulfate","2 amino 2 deoxy d glucose sulfate",5,false,"2 amino 2 deoxy d glucose sulfate","2-amino-2-deoxy-D-glucose sulfate","2 amino 2 deoxy d glucose sulfate"
lnhpd,"4 beta d glucan 4 glucanohydrolase","4 beta d glucan 4 glucanohydrolase",5,false,"4 1 3 1 4 beta d glucan 4 glucanohydrolase","4-(1,3;1,4)-beta-D-Glucan 4-glucanohydrolase","4 beta d glucan 4 glucanohydrolase"
lnhpd,"mentha x piperita","mentha x piperita",5,false,"mentha x piperita","Mentha x piperita","mentha x piperita"
lnhpd,"althaea officinalis","althaea officinalis",5,true,"althaea officinalis","Althaea officinalis","althaea officinalis"
lnhpd,"silicon","silicon",5,false,"silicon","Silicon","silicon"
lnhpd,"passiflora incarnata","passiflora incarnata",5,true,"passiflora incarnata","Passiflora incarnata","passiflora incarnata"
lnhpd,"equisetum arvense","equisetum arvense",5,true,"equisetum arvense","Equisetum arvense","equisetum arvense"
lnhpd,"ganoderma lucidum","ganoderma lucidum",5,true,"ganoderma lucidum","Ganoderma lucidum","ganoderma lucidum"
lnhpd,"poria cocos","poria cocos",4,true,"poria cocos","Poria cocos","poria cocos"
lnhpd,"pinellia ternata","pinellia ternata",4,true,"pinellia ternata","Pinellia ternata","pinellia ternata"
lnhpd,"kali muriaticum","kali muriaticum",4,true,"kali muriaticum","Kali muriaticum","kali muriaticum"
lnhpd,"taraxacum officinale","taraxacum officinale",4,true,"taraxacum officinale","Taraxacum officinale","taraxacum officinale"
