source,name_key,count,samples
lnhpd,"fish oil",26,"Fish oil"
lnhpd,"vitis vinifera",14,"Vitis vinifera" | "Vitis Vinifera"
lnhpd,"oryctolagus cuniculus",12,"Oryctolagus cuniculus"
lnhpd,"inositol",11,"Inositol"
lnhpd,"silybum marianum",10,"Silybum marianum"
lnhpd,"linum usitatissimum",10,"Linum usitatissimum"
lnhpd,"glycyrrhiza uralensis",8,"Glycyrrhiza uralensis"
lnhpd,"allium sativum",8,"Allium sativum" | "Allium Sativum"
lnhpd,"eleutherococcus senticosus",8,"Eleutherococcus senticosus"
lnhpd,"arnica montana",7,"Arnica montana"
lnhpd,"sus scrofa",7,"Sus scrofa"
lnhpd,"salicylic acid",7,"Salicylic acid"
lnhpd,"glycyrrhiza glabra",7,"Glycyrrhiza glabra"
lnhpd,"harpagophytum procumbens",7,"Harpagophytum procumbens"
lnhpd,"withania somnifera",7,"Withania somnifera"
lnhpd,"hydrastis canadensis",7,"Hydrastis canadensis"
lnhpd,"medicago sativa",6,"Medicago sativa"
lnhpd,"phosphore",6,"Phosphore"
lnhpd,"vanadium",6,"Vanadium"
lnhpd,"dioscorea oppositifolia",6,"Dioscorea oppositifolia"
lnhpd,"silicea",6,"Silicea"
lnhpd,"eucalyptus globulus",6,"Eucalyptus globulus"
lnhpd,"citrus bioflavonoids",6,"Citrus Bioflavonoids" | "Citrus bioflavonoids"
lnhpd,"coenzyme q10",6,"Coenzyme Q10"
lnhpd,"ganoderma lucidum",6,"Ganoderma lucidum"
lnhpd,"sambucus nigra",5,"Sambucus nigra"
lnhpd,"1 carboxy n n n trimethylmethanaminium chloride",5,"1-Carboxy-N,N,N-trimethylmethanaminium chloride"
lnhpd,"camellia sinensis",5,"Camellia sinensis"
lnhpd,"angelica sinensis",5,"Angelica sinensis"
lnhpd,"zingiber officinale",5,"Zingiber officinale"
lnhpd,"calendula officinalis",5,"Calendula officinalis"
lnhpd,"angelica dahurica",5,"Angelica dahurica"
lnhpd,"2 amino 2 deoxy d glucose sulfate",5,"2-amino-2-deoxy-D-glucose sulfate"
lnhpd,"4 1 3 1 4 beta d glucan 4 glucanohydrolase",5,"4-(1,3;1,4)-beta-D-Glucan 4-glucanohydrolase"
lnhpd,"mentha x piperita",5,"Mentha x piperita"
lnhpd,"althaea officinalis",5,"Althaea officinalis"
lnhpd,"silicon",5,"Silicon"
lnhpd,"passiflora incarnata",5,"Passiflora incarnata"
lnhpd,"equisetum arvense",5,"Equisetum arvense"
lnhpd,"valeriana officinalis",5,"Valeriana officinalis"
lnhpd,"poria cocos",4,"Poria cocos"
lnhpd,"pinellia ternata",4,"Pinellia ternata"
lnhpd,"kali muriaticum",4,"Kali muriaticum"
lnhpd,"taraxacum officinale",4,"Taraxacum officinale"
lnhpd,"atractylodes macrocephala",4,"Atractylodes macrocephala"
lnhpd,"sodium fluoride",4,"Sodium fluoride"
lnhpd,"trifolium pratense",4,"Trifolium pratense"
lnhpd,"ubiquinone",4,"Ubiquinone"
lnhpd,"3 pyridinecarboxamide",4,"3-Pyridinecarboxamide"
lnhpd,"nickel",4,"Nickel"
lnhpd,"plantago major",4,"Plantago major"
lnhpd,"codonopsis pilosula",4,"Codonopsis pilosula"
lnhpd,"arctium lappa",4,"Arctium lappa"
lnhpd,"paeonia lactiflora",4,"Paeonia lactiflora"
lnhpd,"lecithin",4,"Lecithin"
lnhpd,"whey protein isolate",4,"Whey Protein Isolate"
lnhpd,"4 aminobenzoic acid",4,"4-Aminobenzoic acid"
lnhpd,"myo inositol",3,"Myo-Inositol"
lnhpd,"hamamelis virginiana",3,"Hamamelis virginiana"
lnhpd,"natrum muriaticum",3,"Natrum muriaticum"
lnhpd,"phytolacca decandra",3,"Phytolacca decandra"
lnhpd,"euterpe oleracea",3,"Euterpe oleracea"
lnhpd,"olea europaea",3,"Olea europaea"
lnhpd,"ziziphus jujuba",3,"Ziziphus jujuba"
lnhpd,"serenoa repens",3,"Serenoa repens"
lnhpd,"2 hydroxy n n n trimethylethanaminium",3,"2-Hydroxy-N,N,N-trimethylethanaminium"
lnhpd,"cynara scolymus",3,"Cynara scolymus"
lnhpd,"2 amino 2 deoxy beta d glucopyranose",3,"2-amino-2-deoxy-beta-D-glucopyranose"
lnhpd,"melissa officinalis",3,"Melissa officinalis"
lnhpd,"daucus carota",3,"Daucus carota"
lnhpd,"piper nigrum",3,"Piper nigrum"
lnhpd,"phellodendron chinense",3,"Phellodendron chinense"
lnhpd,"juniperus communis",3,"Juniperus communis"
lnhpd,"plantago ovata",3,"Plantago ovata"
lnhpd,"bryonia",3,"Bryonia"
lnhpd,"paullinia cupana",3,"Paullinia cupana"
lnhpd,"borago officinalis",3,"Borago officinalis"
lnhpd,"ophiopogon japonicus",3,"Ophiopogon japonicus"
lnhpd,"poly 1 3 n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 or 6 sulfonyl d galactose",3,"Poly-(1->3)-N-aceltyl-2-amino-2-deoxy-3-O-beta-D-glucopyranurosyl-4-(or 6-)sulfonyl-D-galactose"
lnhpd,"ethyl alcohol",3,"Ethyl alcohol"
lnhpd,"triacylglycerol lipase",3,"Triacylglycerol lipase"
lnhpd,"phosphorus",3,"Phosphorus"
lnhpd,"solanum lycopersicum",3,"Solanum lycopersicum"
lnhpd,"dioscorea villosa",3,"Dioscorea villosa"
lnhpd,"citrus aurantium",3,"Citrus aurantium"
lnhpd,"hydrolyzed collagen",3,"Hydrolyzed collagen"
lnhpd,"sanguinaria canadensis",3,"Sanguinaria canadensis"
lnhpd,"aloe barbadensis",3,"Aloe barbadensis"
lnhpd,"thymus vulgaris",3,"Thymus vulgaris"
lnhpd,"berberis vulgaris",3,"Berberis vulgaris"
lnhpd,"mercurius corrosivus",3,"Mercurius corrosivus"
lnhpd,"carica papaya",3,"Carica papaya"
lnhpd,"rheum palmatum",3,"Rheum palmatum"
lnhpd,"lycopersicon esculentum",3,"Lycopersicon esculentum"
lnhpd,"commiphora myrrha",3,"Commiphora myrrha"
lnhpd,"belladonna",3,"Belladonna"
lnhpd,"lepidium meyenii",3,"Lepidium meyenii"
lnhpd,"terminalia chebula",3,"Terminalia chebula"
lnhpd,"rosmarinus officinalis",3,"Rosmarinus officinalis"
lnhpd,"natrium chloratum",3,"Natrium chloratum"
lnhpd,"mentha haplocalyx",3,"Mentha haplocalyx"
lnhpd,"seal oil",3,"Seal oil"
lnhpd,"oenothera biennis",3,"Oenothera biennis"
lnhpd,"sepia officinalis",3,"Sepia officinalis"
lnhpd,"cornus officinalis",2,"Cornus officinalis"
lnhpd,"apis mellifica",2,"Apis mellifica"
lnhpd,"bioflavonoids",2,"Bioflavonoids"
lnhpd,"scrophularia nodosa",2,"Scrophularia nodosa"
lnhpd,"argentum metallicum",2,"Argentum metallicum"
lnhpd,"caulophyllum thalictroides",2,"Caulophyllum thalictroides"
lnhpd,"gentiana lutea",2,"Gentiana lutea"
lnhpd,"saposhnikovia divaricata",2,"Saposhnikovia divaricata"
lnhpd,"actaea racemosa",2,"Actaea racemosa"
lnhpd,"sticta pulmonaria",2,"Sticta pulmonaria"
lnhpd,"3 3 4 5 7 pentahydroxyflavone",2,"3,3',4',5,7-pentahydroxyflavone"
lnhpd,"citrus sinensis",2,"Citrus sinensis"
lnhpd,"matricaria chamomilla",2,"Matricaria chamomilla"
lnhpd,"acorus tatarinowii",2,"Acorus tatarinowii"
lnhpd,"raphanus sativus",2,"Raphanus sativus"
lnhpd,"matricaria recutita",2,"Matricaria recutita"
lnhpd,"tanacetum parthenium",2,"Tanacetum parthenium"
lnhpd,"carlina acaulis",2,"Carlina acaulis"
lnhpd,"grindelia camporum",2,"Grindelia camporum"
lnhpd,"aucklandia lappa",2,"Aucklandia lappa"
lnhpd,"avena sativa",2,"Avena sativa"
lnhpd,"conium maculatum",2,"Conium maculatum"
lnhpd,"modified citrus pectin",2,"Modified citrus pectin"
lnhpd,"nux vomica",2,"Nux vomica"
lnhpd,"salvia miltiorrhiza",2,"Salvia miltiorrhiza"
lnhpd,"drosera",2,"Drosera"
lnhpd,"rheum officinale",2,"Rheum officinale"
lnhpd,"platycodon grandiflorum",2,"Platycodon grandiflorum"
lnhpd,"salvia officinalis",2,"Salvia officinalis"
lnhpd,"ethanol",2,"Ethanol"
lnhpd,"aconitum napellus",2,"Aconitum napellus"
lnhpd,"alisma plantago aquatica",2,"Alisma plantago-aquatica"
lnhpd,"bryonia alba",2,"Bryonia alba"
lnhpd,"cantharis",2,"Cantharis"
lnhpd,"chrysanthemum morifolium",2,"Chrysanthemum morifolium"
lnhpd,"methyl salicylate",2,"Methyl Salicylate"
lnhpd,"mangifera indica",2,"Mangifera indica"
lnhpd,"galium aparine",2,"Galium aparine"
lnhpd,"cimicifuga racemosa",2,"Cimicifuga racemosa"
lnhpd,"s 2 amino 3 methylbutanoic acid",2,"(S)-2-amino-3-methylbutanoic acid"
lnhpd,"foeniculum vulgare",2,"Foeniculum vulgare"
lnhpd,"spongia tosta",2,"Spongia tosta"
lnhpd,"spinacia oleracea",2,"Spinacia oleracea"
lnhpd,"ligustrum lucidum",2,"Ligustrum lucidum"
lnhpd,"rumex crispus",2,"Rumex crispus"
lnhpd,"magnolia officinalis",2,"Magnolia officinalis"
lnhpd,"orchitinum",2,"Orchitinum"
lnhpd,"polygonum multiflorum",2,"Polygonum multiflorum"
lnhpd,"paeonia veitchii",2,"Paeonia veitchii"
lnhpd,"n 2 5 methoxyindol 3 yl ethyl acetamide",2,"N-[2-(5-Methoxyindol-3-yl) ethyl] acetamide"
lnhpd,"beta galactosidase",2,"beta-galactosidase"
lnhpd,"zincum metallicum",2,"Zincum metallicum"
lnhpd,"ferrum phosphoricum",2,"Ferrum phosphoricum"
lnhpd,"zea mays",2,"Zea mays"
lnhpd,"nepeta cataria",2,"Nepeta cataria"
lnhpd,"piperine",2,"Piperine"
lnhpd,"rehmannia glutinosa",2,"Rehmannia glutinosa"
lnhpd,"sarsaparilla",2,"Sarsaparilla"
lnhpd,"panax quinquefolius",2,"Panax quinquefolius"
lnhpd,"menthol",2,"Menthol"
lnhpd,"lappa major",2,"Lappa major"
lnhpd,"cinnamomum aromaticum",2,"Cinnamomum aromaticum"
lnhpd,"rhamnus purshianus",2,"Rhamnus Purshianus"
lnhpd,"saussurea costus",2,"Saussurea costus"
lnhpd,"lycopodium clavatum",2,"Lycopodium clavatum"
lnhpd,"coffea cruda",2,"Coffea cruda"
lnhpd,"atropa belladonna",2,"Atropa belladonna"
lnhpd,"calcarea fluorica",2,"Calcarea fluorica"
lnhpd,"urtica dioica",2,"Urtica dioica"
lnhpd,"1 2 dithiolane 3 pentanoic acid",2,"(+-)-1,2-Dithiolane-3-pentanoic acid"
lnhpd,"hydrolyzed collagen type ii",2,"Hydrolyzed Collagen Type II"
